timestamp_utc,team,model,score,notes
2026-03-07T17:15:51Z,El-Ikram,main,0.390879,"PR #10"
2026-03-07T17:18:50Z,TugaAhmed,run1,0.545907,"PR #11"
2026-03-07T23:11:58Z,samuelmatia,main,0.390879,"PR #13"
2026-03-09T21:18:33Z,SanaeZR,gin-improvement,0.390879,"PR #16"
2026-03-13T17:05:38Z,abdksm,my-submission,0.402444,"PR #17"
2026-03-14T15:44:46Z,Muhammad0isah,GraphSAGE,0.604465,"PR #18"
2026-03-23T05:12:55Z,idrees11,my-submission,0.499107,"PR #19"
2026-03-25T17:13:59Z,AiIkram,my-submission,0.577043,"PR #20"
2026-03-25T18:15:18Z,Mubarraqqq,Mubaraq,0.390879,"PR #21"
2026-03-28T21:47:23Z,Murad-Hossen,Murad_GraphSAGE,0.552238,"PR #22"
